season,week,team,vam_lost
2021,14,JAX,0.0
2021,14,KC,0.0
2021,14,LA,0.0
2021,14,LAC,13.0
2021,14,LV,69.38783374727001
2021,14,MIN,46.096747037932744
2021,14,NO,0.0
2021,14,NYG,0.0
2021,14,NYJ,0.0
2021,14,PIT,13.0
2021,14,SEA,21.0
2021,14,SF,6.0
2021,14,TB,12.0
2021,14,TEN,19.0
2021,14,WAS,0.0
2021,15,ARI,53.75579417429408
2021,15,ATL,2.0
2021,15,BAL,8.0
2021,15,BUF,33.88294253430375
2021,15,CAR,0.0
2021,15,CHI,3.0
2021,15,CIN,8.0
2021,15,CLE,0.0
2021,15,DAL,0.0
2021,15,DEN,18.0
2021,15,DET,3.277079104322561
2021,15,GB,10.26288144371938
2021,15,HOU,155.9881439601105
2021,15,IND,2.0
2021,15,JAX,0.0
2021,15,KC,17.0
2021,15,LV,67.38783374727001
2021,15,NE,0.0
2021,15,NO,0.0
2021,15,NYG,0.0
2021,15,NYJ,0.0
2021,15,SF,8.0
2021,15,TB,6.0
2021,15,TEN,11.0
2021,16,ARI,8.0
2021,16,ATL,0.0
2021,16,BAL,9.24892446168814
2021,16,CHI,5.575009973045984
2021,16,CIN,8.0
2021,16,CLE,3.0
2021,16,DAL,0.0
2021,16,DEN,50.1532760968314
2021,16,DET,3.0
2021,16,GB,8.070179065724744
2021,16,HOU,145.9881439601105
2021,16,IND,2.0
2021,16,LAC,2.58079188247211
2021,16,LV,63.38783374727
2021,16,NE,36.9445202872954
2021,16,NYG,11.161504588905
2021,16,NYJ,29.073998513699728
2021,16,PIT,2.0
2021,16,SEA,0.0
2021,16,SF,3.0
2021,16,TB,95.9828458857515
2021,16,TEN,2.0
2021,16,WAS,14.0
2021,17,ARI,8.0
2021,17,ATL,6.0
2021,17,BAL,0.0
2021,17,CAR,5.0
2021,17,CHI,0.0
2021,17,CIN,0.0
2021,17,CLE,19.0
2021,17,DEN,45.1532760968314
2021,17,DET,19.81929333492394
2021,17,GB,7.0
2021,17,HOU,145.9881439601105
2021,17,IND,2.0
2021,17,JAX,15.29799164440204
2021,17,LAC,0.0
2021,17,MIN,8.0
2021,17,NE,36.9445202872954
2021,17,NO,24.298756374316664
2021,17,NYG,11.161504588905
2021,17,NYJ,29.073998513699728
2021,17,PHI,0.0
2021,17,PIT,0.0
2021,17,SEA,0.0
2021,17,SF,34.768766460959256
2021,17,TB,56.0
2021,17,WAS,3.0
2021,18,ARI,10.37005301060554
2021,18,BAL,97.3217587379471
2021,18,BUF,46.88294253430375
2021,18,CAR,0.0
2021,18,CHI,7.0
2021,18,CIN,0.0
2021,18,DEN,0.0
2021,18,DET,0.0
2021,18,GB,17.0
2021,18,HOU,145.9881439601105
2021,18,IND,6.0
2021,18,JAX,9.29799164440204
2021,18,KC,0.0
2021,18,LAC,0.0
2021,18,MIN,0.0
2021,18,NE,0.0
2021,18,NO,6.0
2021,18,NYG,0.0
2021,18,NYJ,5.66113457909714
2021,18,PHI,0.0
2021,18,PIT,0.0
2021,18,SEA,6.0
2021,18,TB,56.0
2021,18,TEN,0.0
2021,18,WAS,59.27644513948487
2021,19,CIN,0.0
2021,19,DAL,5.0
2021,19,KC,0.0
2021,19,LA,5.0
2021,19,TB,0.0
2021,20,GB,28.392704781552283
2021,20,LA,5.0
2021,20,TB,1.2607532121602
2021,21,CIN,0.0
2021,21,LA,0.0
2022,1,ARI,4.33875561494791
2022,1,BAL,0.0
2022,1,CHI,0.0
2022,1,CIN,0.0
2022,1,DAL,18.4041369350428
2022,1,DEN,2.0
2022,1,DET,2.0
2022,1,GB,39.344342182310356
2022,1,HOU,18.0
2022,1,IND,28.0
2022,1,LA,34.76201265678837
2022,1,LAC,33.14505668891082
2022,1,NO,21.5186280927269
2022,1,NYG,18.0
2022,1,NYJ,0.0
2022,1,SEA,4.0
2022,1,SF,0.0
2022,1,TB,0.0
2022,1,TEN,14.0
2022,1,WAS,2.0
2022,2,ARI,2.149164454088929
2022,2,ATL,0.0
2022,2,BAL,14.3153648964362
2022,2,BUF,10.0
2022,2,CAR,0.0
2022,2,CHI,0.0
2022,2,CLE,0.0
2022,2,DAL,120.3816742518293
2022,2,DEN,5.07608739298303
2022,2,DET,0.0
2022,2,HOU,0.0
2022,2,IND,28.0
2022,2,KC,0.0
2022,2,LA,34.76201265678837
2022,2,LAC,38.40576133840389
2022,2,LV,22.96039893597347
2022,2,MIA,0.872670122655109
2022,2,MIN,0.0
2022,2,NO,9.0
2022,2,NYG,22.0
2022,2,NYJ,19.4237881508718
2022,2,SEA,0.0
2022,2,SF,0.0
2022,2,TB,38.18130874340832
2022,2,TEN,8.13464422883114
2022,3,ARI,1.3387556149479098
2022,3,ATL,0.0
2022,3,BAL,0.0
2022,3,BUF,35.0
2022,3,CHI,5.0033859970720105
2022,3,CIN,8.321978353720624
2022,3,CLE,22.0
2022,3,DAL,92.9775373167865
2022,3,DEN,0.0
2022,3,DET,0.0
2022,3,GB,0.0
2022,3,HOU,5.78663257053661
2022,3,IND,28.0
2022,3,KC,10.0
2022,3,LA,37.76201265678837
2022,3,LAC,26.0
2022,3,LV,50.85047074855016
2022,3,MIA,0.872670122655109
2022,3,MIN,11.0
2022,3,NO,0.0
2022,3,NYG,27.28647862204219
2022,3,NYJ,0.0
2022,3,SEA,20.0
2022,3,SF,5.4017754854514
2022,3,TB,45.18130874340832
2022,3,TEN,18.0
2022,3,WAS,2.0
2022,4,ARI,28.4733856565134
2022,4,BAL,11.0
2022,4,BUF,6.0
2022,4,CHI,10.00338599707201
2022,4,CIN,4.321978353720624
2022,4,CLE,4.0
2022,4,DAL,84.9775373167865
2022,4,DEN,5.0
2022,4,DET,58.32833435664034
2022,4,GB,0.0
2022,4,HOU,5.78663257053661
2022,4,IND,2.0
2022,4,KC,10.0
2022,4,LA,3.0
2022,4,LAC,31.260704649493075
2022,4,LV,49.97708337662163
2022,4,MIA,0.872670122655109
2022,4,MIN,0.0
2022,4,NE,55.67095022079723
2022,4,NO,40.691060022159306
2022,4,NYG,27.28647862204219
2022,4,NYJ,10.0
2022,4,PHI,8.0
2022,4,PIT,9.0
2022,4,SEA,6.0
2022,4,SF,14.401775485451399
2022,4,TB,13.2630563054761
2022,4,TEN,15.06227189977653
2022,4,WAS,0.0
2022,5,ARI,5.0
2022,5,ATL,26.3311149346791
2022,5,BAL,25.884151672314403
2022,5,BUF,63.647067171496815
2022,5,CAR,2.27462446073786
2022,5,CHI,7.0
2022,5,DAL,84.9775373167865
2022,5,DEN,5.0
2022,5,DET,28.40144161788109
2022,5,HOU,13.71267353433025
2022,5,IND,76.7024224079214
2022,5,JAX,0.0
2022,5,KC,0.0
2022,5,LA,3.0
2022,5,LAC,31.260704649493075
2022,5,LV,3.0
2022,5,MIA,16.76369979301989
2022,5,MIN,0.0
2022,5,NE,55.67095022079723
2022,5,NO,55.691060022159306
2022,5,NYG,32.28647862204219
2022,5,NYJ,10.0
2022,5,PHI,8.0
2022,5,PIT,9.0
2022,5,SEA,0.0
2022,5,SF,17.4017754854514
2022,5,TB,13.0
2022,5,TEN,23.06227189977653
2022,5,WAS,0.0
2022,6,ARI,50.0232466384125
2022,6,ATL,3.0
2022,6,BAL,25.884151672314403
2022,6,BUF,0.0
2022,6,CAR,2.9885299719605203
2022,6,CLE,32.0
2022,6,DAL,0.0
2022,6,DEN,12.0
2022,6,GB,2.0
2022,6,IND,38.0
2022,6,KC,13.0
2022,6,LA,0.0
2022,6,LAC,31.260704649493075
2022,6,MIA,15.89102967036478
2022,6,NE,6.0
2022,6,NO,22.06674935559259
2022,6,NYG,34.28647862204219
2022,6,NYJ,0.0
2022,6,PIT,56.750933841631095
2022,6,SEA,3.0
2022,6,SF,21.0
2022,6,TB,30.3809976857338
2022,6,WAS,10.574759503739191
2022,7,ARI,38.38086756761477
2022,7,ATL,0.0
2022,7,BAL,0.0
2022,7,CAR,5.71390551122266
2022,7,CIN,16.0
2022,7,CLE,10.0
2022,7,DAL,0.0
2022,7,DEN,10.0
2022,7,DET,23.22529885149561
2022,7,GB,20.952882296183997
