season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2017,1,NYJ,REG,BUF,26,39,187,0,2,1,-11,0,0,207,98,8,-12.8478890923068,1.04237300784964,0,15,38,1,0,0,2,2.08468882762827,0,26,38,187,0,0,0,207,98,8,-8.77377261464347,0,0,40,16,26,6,17,0,2,6,5,1,48,5,0,2,0,0,2,2,0,0,0,5,62,3,3,27,2,45,2,2,0,0,52.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,48;52,,,100,0,0,0,0,0,0,,0,0,0,0,0
2017,1,PHI,REG,WAS,26,39,307,2,1,2,-9,0,0,401,140,17,9.53234661281095,5.77557247720266,1,24,58,0,1,1,2,-12.8150964680149,0,26,38,307,2,0,0,401,140,17,14.563563192766,1,0,39,6,14,3,14,2,4,40,7,1,15,4,0,0,0,0,0,1,3,3,1,8,76,4,0,0,1,8,3,3,0,0,50.0,1.0,0,0,1,1,1,0,0,0,0,0,0,0,50;42;37,,,129,0,0,1,2,1,0,0.5,0,0,0,0,0
2017,1,PIT,REG,CLE,24,36,263,2,1,1,-8,0,0,225,152,13,4.36629921465647,-1.70239152179824,0,17,35,0,0,0,1,-7.39527159067802,0,24,36,263,2,1,0,225,152,13,6.13469053513836,0,1,44,1,21,7,43,0,7,42,8,1,17,3,0,0,0,0,0,0,0,0,0,13,143,3,3,32,1,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2017,1,SEA,REG,GB,14,27,158,0,0,3,-23,1,1,278,43,8,-10.3280354975705,-3.67634031507704,0,18,90,0,0,0,3,-2.16720465454273,0,14,27,158,0,0,0,278,43,8,-3.31936692137792,0,0,47,6,16,5,25,0,4,25,9,1,24,5,0,0,0,0,0,0,0,0,0,8,50,5,1,7,3,91,3,3,0,0,41.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,33;21;41,,,95,0,0,0,0,0,0,,0,0,0,0,0
2017,1,SF,REG,CAR,24,35,193,0,1,4,-27,1,1,255,111,10,-15.5657046365086,2.30792675699506,0,15,51,0,0,0,2,-6.75168985233177,0,24,35,193,0,0,0,255,111,10,-3.94977635308169,0,0,44,3,11,2,5,1,0,0,2,1,37,3,0,0,0,0,0,0,1,1,0,10,74,5,1,9,0,0,1,1,0,0,44.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,0,0,0,0,,0,0,0,0,0
2017,1,TEN,REG,LV,25,41,256,0,0,1,-1,0,0,372,73,15,4.67399288357085,-3.05783603249527,0,21,95,1,0,0,5,-1.50757654637405,0,25,41,256,0,0,0,372,73,15,5.68614980733803,0,0,42,0,18,3,14,2,2,12,3,0,0,3,0,0,0,0,0,0,0,0,0,5,49,3,1,5,1,35,3,4,1,0,52.0,0.75,0,2,0,0,1,0,0,0,0,0,1,0,23;26;52,52,,101,52,0,1,1,0,0,1.0,0,0,0,0,0
2017,1,WAS,REG,PHI,23,40,240,1,1,4,-40,2,2,372,130,12,-14.475259981566,-5.64892888069153,0,17,64,0,0,0,3,-1.49105432454962,0,23,40,240,1,0,0,372,130,12,1.79963971420112,0,0,37,6,18,4,7,0,2,9,9,1,24,8,1,1,0,0,0,0,1,1,0,2,15,5,2,3,4,77,1,1,0,0,33.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,33,,,33,0,0,2,2,0,0,1.0,0,0,0,0,0
2017,2,ARI,REG,IND,19,36,332,1,1,4,-26,0,0,418,122,14,1.33638211629929,-2.52367779612541,0,25,83,0,1,0,3,-3.93697726384809,0,19,36,332,1,0,0,418,122,14,6.28187422860989,0,0,51,0,20,9,39,2,4,26,8,1,15,4,0,0,0,0,1,1,0,0,0,6,41,5,1,6,2,35,3,4,1,0,40.0,0.75,0,1,1,1,0,0,0,0,0,1,0,0,27;40;30,42,,97,42,0,1,1,0,0,1.0,1,1,0,0,30
2017,2,ATL,REG,GB,19,28,252,1,0,3,-29,0,0,257,123,12,8.63122822632123,5.91294478487086,0,27,141,2,0,0,7,2.70051388908178,0,19,27,252,1,0,0,257,123,12,15.9671035920619,0,0,38,2,14,3,22,1,3,35,7,1,0,4,0,0,0,0,0,0,1,1,1,6,34,5,1,0,2,31,2,2,0,0,53.0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,51;53,,,104,0,0,4,4,0,0,1.0,0,0,0,0,0
2017,2,BAL,REG,CLE,25,34,217,2,1,2,-16,0,0,190,130,16,6.66894637506171,8.24322158640081,0,32,136,1,1,1,8,-8.97225379024167,0,25,33,217,2,0,0,190,130,16,11.1776502014645,0,0,45,0,8,4,8,2,3,7,9,4,33,9,0,0,0,0,0,0,1,1,0,7,45,5,3,19,0,0,1,2,1,0,28.0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,28,58,,28,58,0,3,3,0,0,1.0,0,0,0,0,0
